Generation started.
{'data_name': 'snort-clean', 'error count': 1091, 'total regex': 1254, 'generatable regex': 169, 'unique regex': 108, 'max regex len': 51}
{'data_name': 'regexlib-clean', 'error count': 2103, 'total regex': 3072, 'generatable regex': 1019, 'unique regex': 887, 'max regex len': 1324}
{'data_name': 'practical_regexes_54', 'error count': 6735, 'total regex': 7805, 'generatable regex': 1104, 'unique regex': 963, 'max regex len': 3842}
{'data_name': 'practical_regexes_34', 'error count': 8610, 'total regex': 10000, 'generatable regex': 1437, 'unique regex': 1204, 'max regex len': 5672}
{'data_name': 'practical_regexes_06', 'error count': 8597, 'total regex': 10000, 'generatable regex': 1446, 'unique regex': 1208, 'max regex len': 982}
{'data_name': 'practical_regexes_11', 'error count': 8633, 'total regex': 10000, 'generatable regex': 1418, 'unique regex': 1198, 'max regex len': 2984}
{'data_name': 'practical_regexes_40', 'error count': 8625, 'total regex': 10000, 'generatable regex': 1422, 'unique regex': 1189, 'max regex len': 2759}
{'data_name': 'practical_regexes_08', 'error count': 8651, 'total regex': 10000, 'generatable regex': 1402, 'unique regex': 1179, 'max regex len': 994}
{'data_name': 'practical_regexes_30', 'error count': 8607, 'total regex': 10000, 'generatable regex': 1438, 'unique regex': 1199, 'max regex len': 1094}
{'data_name': 'practical_regexes_33', 'error count': 8645, 'total regex': 10000, 'generatable regex': 1410, 'unique regex': 1165, 'max regex len': 2763}
{'data_name': 'practical_regexes_21', 'error count': 8585, 'total regex': 10000, 'generatable regex': 1452, 'unique regex': 1208, 'max regex len': 1722}
{'data_name': 'practical_regexes_48', 'error count': 8594, 'total regex': 10000, 'generatable regex': 1463, 'unique regex': 1227, 'max regex len': 1951}
{'data_name': 'practical_regexes_07', 'error count': 8581, 'total regex': 10000, 'generatable regex': 1463, 'unique regex': 1246, 'max regex len': 4862}
{'data_name': 'practical_regexes_51', 'error count': 8652, 'total regex': 10000, 'generatable regex': 1405, 'unique regex': 1156, 'max regex len': 2556}
{'data_name': 'practical_regexes_18', 'error count': 8601, 'total regex': 10000, 'generatable regex': 1454, 'unique regex': 1235, 'max regex len': 2687}
{'data_name': 'practical_regexes_03', 'error count': 8607, 'total regex': 10000, 'generatable regex': 1435, 'unique regex': 1197, 'max regex len': 1773}
{'data_name': 'practical_regexes_17', 'error count': 8664, 'total regex': 10000, 'generatable regex': 1374, 'unique regex': 1153, 'max regex len': 5995}
{'data_name': 'practical_regexes_22', 'error count': 8642, 'total regex': 10000, 'generatable regex': 1397, 'unique regex': 1175, 'max regex len': 9603}
{'data_name': 'practical_regexes_13', 'error count': 8648, 'total regex': 10000, 'generatable regex': 1413, 'unique regex': 1208, 'max regex len': 2566}
{'data_name': 'practical_regexes_47', 'error count': 8586, 'total regex': 10000, 'generatable regex': 1467, 'unique regex': 1226, 'max regex len': 2715}
